po_id,supplier_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,status,is_delayed,total_amount,payment_terms
72,46,10,2024-08-08,2024-08-21,2024-08-21,Delivered,0,19532437.75,Immediate
73,34,10,2022-02-18,2022-03-05,2022-03-04,Delivered,0,380420.0,Immediate
74,8,9,2023-09-22,2023-10-05,2023-10-15,Delivered,1,1069559.98,Net30
75,58,5,2022-03-31,2022-05-09,2022-05-10,Delivered,0,176301.44,Net30
76,28,8,2024-11-01,2024-11-11,2024-11-10,Delivered,0,87228.9,Net60
77,26,4,2023-04-30,2023-05-15,2023-05-17,Delivered,0,2289543.81,Net60
78,50,6,2022-06-02,2022-07-01,2022-07-16,Delivered,1,8514011.02,Immediate
79,60,10,2024-08-12,2024-08-23,2024-08-31,Delivered,1,509256.36,Immediate
80,78,3,2023-06-27,2023-08-25,2023-09-08,Delivered,1,285508.8,Net90
81,68,7,2022-10-31,2022-11-05,2022-11-06,Delivered,0,512469.39,Net90
82,74,3,2023-06-17,2023-07-06,2023-07-08,Delivered,0,7742421.02,Net30
83,60,3,2022-10-14,2022-10-23,2022-11-07,Delivered,1,4857784.31,Immediate
84,73,1,2024-02-02,2024-02-16,2024-02-15,Delivered,0,3266664.26,Net30
85,12,8,2022-05-13,2022-05-18,2022-05-18,Delivered,0,590723.41,Net30
86,68,8,2022-12-11,2022-12-23,2022-12-25,Delivered,0,1652169.53,Net60
87,27,9,2023-01-19,2023-02-10,2023-02-22,Delivered,1,2279000.64,Immediate
88,67,2,2024-04-23,2024-05-21,2024-05-20,Delivered,0,580100.35,Net60
89,75,5,2022-02-09,2022-03-09,2022-03-20,Delivered,1,362132.16,Net90
90,69,6,2024-03-06,2024-03-16,2024-03-28,Delivered,1,447339.63,Net90
91,44,9,2023-04-22,2023-05-11,2023-05-24,Delivered,1,3032230.51,Net60
92,27,10,2024-03-06,2024-03-29,2024-03-29,Delivered,0,4489927.56,Net90
93,2,3,2022-02-27,2022-03-24,2022-03-24,Delivered,0,307056.06,Immediate
94,43,1,2023-09-25,2023-10-10,2023-10-13,Delivered,1,2157215.36,Immediate
95,7,5,2022-01-02,2022-01-20,2022-01-21,Delivered,0,2384966.72,Net60
96,13,6,2022-08-16,2022-09-14,2022-09-15,Delivered,0,1676043.97,Net90
97,67,4,2022-10-07,2022-11-06,2022-11-08,Delivered,0,2306857.06,Net90
98,73,2,2023-04-03,2023-04-17,2023-04-19,Delivered,0,6750127.6,Net30
99,79,8,2024-03-12,2024-04-03,2024-04-02,Delivered,0,1411692.84,Net60
100,55,1,2022-08-02,2022-08-14,2022-08-13,Delivered,0,16691667.19,Net30
101,59,8,2023-11-19,2024-01-03,2024-01-10,Delivered,1,73318.41,Immediate
102,59,10,2024-06-16,2024-07-19,2024-07-21,Delivered,0,2274010.85,Immediate
103,58,5,2023-04-07,2023-05-23,2023-05-31,Delivered,1,45040.0,Net90
104,30,9,2022-12-15,2023-01-02,2023-01-06,Delivered,1,149806.8,Immediate
105,21,1,2022-03-05,2022-03-15,2022-03-17,Delivered,0,30797.13,Net60
106,14,2,2023-01-25,2023-02-13,2023-02-14,Delivered,0,762911.87,Immediate
107,5,1,2024-10-02,2024-10-12,2024-10-14,Delivered,0,317187.83,Net60
108,68,4,2023-08-21,2023-09-02,2023-09-01,Delivered,0,10166066.36,Net90
109,6,8,2022-07-06,2022-07-28,2022-07-29,Delivered,0,981825.04,Net90
110,35,7,2024-06-19,2024-07-01,2024-07-02,Delivered,0,22222657.24,Net30
111,22,10,2022-06-25,2022-07-19,2022-07-21,Delivered,0,16123913.4,Immediate
112,33,1,2024-08-30,2024-09-13,2024-09-14,Delivered,0,27421.68,Net60
113,74,4,2022-09-04,2022-09-24,2022-09-24,Delivered,0,5773139.17,Immediate
114,35,3,2022-06-10,2022-06-27,2022-06-27,Delivered,0,933714.66,Net30
115,28,9,2022-06-28,2022-07-11,2022-07-12,Delivered,0,12789780.74,Immediate
116,26,8,2022-08-19,2022-09-05,2022-09-17,Delivered,1,2097029.98,Net30
117,41,5,2022-07-26,2022-08-24,2022-08-26,Delivered,0,792576.3,Net60
118,74,7,2023-07-19,2023-08-01,2023-08-03,Delivered,0,16091352.24,Immediate
119,35,9,2023-07-05,2023-07-21,2023-08-05,Delivered,1,17198246.47,Net30
120,60,3,2023-04-12,2023-04-21,2023-04-23,Delivered,0,1026866.25,Net30
121,16,4,2023-01-20,2023-02-03,2023-02-05,Delivered,0,1615464.08,Net60
122,54,6,2022-05-15,2022-06-02,2022-06-13,Delivered,1,625017.26,Net60
123,77,9,2023-02-16,2023-03-09,2023-03-11,Delivered,0,32687159.57,Net90
124,69,10,2024-08-08,2024-08-21,2024-08-20,Delivered,0,46510517.77,Immediate
125,22,2,2022-12-30,2023-01-28,2023-01-29,Delivered,0,20340164.06,Net30
126,26,3,2023-08-07,2023-08-17,2023-08-29,Delivered,1,849035.49,Net60
127,55,2,2023-02-28,2023-03-06,2023-03-05,Delivered,0,1221870.45,Net60
128,50,1,2022-12-21,2023-01-13,2023-01-20,Delivered,1,2063688.22,Net90
129,39,6,2024-05-17,2024-06-11,2024-06-13,Delivered,0,1630962.12,Immediate
130,44,7,2022-07-29,2022-08-05,2022-08-06,Delivered,0,5450148.3,Immediate
131,59,4,2022-05-11,2022-06-21,2022-07-04,Delivered,1,469853.65,Net60
132,38,8,2022-04-27,2022-05-12,2022-05-14,Delivered,0,1027124.88,Immediate
133,48,2,2023-08-29,2023-09-11,2023-09-13,Delivered,0,64432003.81,Net60
134,61,2,2024-12-30,2025-01-14,,Pending,0,94481.11,Net60
135,8,1,2023-08-25,2023-09-15,2023-09-15,Delivered,0,531607.09,Net90
136,57,3,2023-04-03,2023-04-16,2023-04-17,Delivered,0,19177346.69,Net30
137,9,8,2022-05-26,2022-06-25,2022-06-26,Delivered,0,54734.2,Net90
138,19,7,2024-04-18,2024-04-30,2024-05-02,Delivered,0,375643.51,Immediate
139,66,9,2023-11-13,2023-11-21,2023-11-20,Delivered,0,301251.42,Net60
140,47,1,2022-11-21,2022-12-19,2022-12-31,Delivered,1,16989476.76,Net30
141,71,8,2022-03-19,2022-03-25,2022-03-24,Delivered,0,754121.24,Net60
142,28,2,2023-04-09,2023-04-26,2023-04-26,Delivered,0,3309588.26,Net30
143,79,9,2023-09-03,2023-09-27,2023-09-28,Delivered,0,2738632.9,Immediate
144,38,1,2024-01-06,2024-01-21,2024-02-05,Delivered,1,2453204.46,Net60
145,59,1,2023-03-09,2023-04-11,2023-04-19,Delivered,1,55569.36,Net90
146,5,8,2024-12-31,2025-01-16,,Pending,0,3087361.53,Net30
147,17,6,2024-05-03,2024-05-16,2024-05-17,Delivered,0,212674.51,Net30
148,40,8,2023-09-09,2023-10-19,2023-10-19,Delivered,0,33784.08,Net30
149,72,2,2023-08-02,2023-08-08,2023-08-08,Delivered,0,53271950.35,Net90
150,11,3,2024-04-19,2024-04-26,2024-05-06,Delivered,1,3911116.55,Net30
151,12,7,2022-08-15,2022-08-24,2022-08-24,Delivered,0,6630873.0,Net90
152,38,9,2023-04-19,2023-05-01,2023-05-02,Delivered,0,5323919.58,Net60
153,66,5,2022-03-22,2022-03-31,2022-04-01,Delivered,0,274715.07,Net30
154,27,9,2022-01-20,2022-02-25,2022-03-05,Delivered,1,757445.12,Net90
155,22,1,2023-01-10,2023-01-24,2023-01-26,Delivered,0,2719775.67,Immediate
156,5,10,2022-12-08,2022-12-17,2022-12-16,Delivered,0,360751.36,Immediate
157,10,5,2024-06-16,2024-06-26,2024-06-27,Delivered,0,31948161.6,Immediate
158,68,7,2022-08-20,2022-08-31,2022-08-30,Delivered,0,1800567.94,Net60
159,52,8,2023-11-24,2023-12-09,2023-12-08,Delivered,0,1284036.64,Immediate
160,64,3,2022-11-01,2022-12-05,2022-12-04,Delivered,0,38847723.11,Immediate
161,69,3,2024-10-12,2024-10-30,2024-11-01,Delivered,0,1202909.77,Net60
162,52,3,2024-02-15,2024-02-28,2024-03-01,Delivered,0,15196374.62,Net90
163,56,7,2022-09-01,2022-09-17,2022-09-16,Delivered,0,20732935.92,Net30
164,56,2,2023-09-16,2023-10-01,2023-10-03,Delivered,0,3205764.68,Net60
165,9,9,2024-07-19,2024-08-05,2024-08-06,Delivered,0,21000.06,Net60
166,74,6,2022-01-05,2022-01-17,2022-01-18,Delivered,0,17524198.62,Net60
167,41,2,2024-10-05,2024-10-21,2024-10-20,Delivered,0,353058.72,Immediate
168,71,4,2023-03-18,2023-03-24,2023-03-25,Delivered,0,9918000.1,Net30
169,67,2,2024-07-11,2024-07-31,2024-07-31,Delivered,0,62217.56,Net30
170,62,8,2024-06-05,2024-07-10,2024-07-10,Delivered,0,250203.66,Net60
171,72,6,2022-08-01,2022-08-10,2022-08-11,Delivered,0,41147481.73,Net60
172,75,9,2023-07-15,2023-08-16,2023-08-16,Delivered,0,1144363.21,Net90
173,1,8,2023-03-22,2023-04-05,2023-04-13,Delivered,1,202475.66,Net60
174,49,7,2024-10-28,2024-11-08,2024-11-07,Delivered,0,6718845.0,Immediate
175,79,7,2024-12-29,2025-01-12,,Pending,0,51515.2,Net60
176,16,10,2022-04-19,2022-05-06,2022-05-06,Delivered,0,292022.25,Net90
177,9,9,2023-02-22,2023-04-18,2023-05-01,Delivered,1,113993.3,Immediate
178,59,9,2023-05-02,2023-05-29,2023-05-28,Delivered,0,24080399.92,Net30
179,62,7,2022-01-27,2022-04-15,2022-04-17,Delivered,0,726205.96,Net60
180,24,6,2023-02-01,2023-02-18,2023-03-03,Delivered,1,189764.12,Net30
181,22,2,2024-02-12,2024-02-24,2024-02-25,Delivered,0,14974933.89,Net60
182,48,1,2022-03-23,2022-04-04,2022-04-03,Delivered,0,13155186.2,Net90
183,61,3,2022-05-30,2022-06-16,2022-06-16,Delivered,0,33809314.63,Immediate
184,55,2,2022-07-08,2022-07-15,2022-07-16,Delivered,0,18415296.35,Immediate
185,65,6,2022-01-19,2022-01-28,2022-01-28,Delivered,0,882235.52,Net90
186,59,9,2024-02-21,2024-03-29,2024-04-09,Delivered,1,601389.57,Net90
187,34,6,2024-11-19,2024-12-14,2024-12-13,Delivered,0,3433260.96,Net30
188,68,6,2022-07-16,2022-07-22,2022-07-21,Delivered,0,18092632.16,Net60
189,25,1,2024-05-18,2024-06-12,2024-06-14,Delivered,0,18092183.78,Net60
190,39,2,2022-02-18,2022-03-08,2022-03-07,Delivered,0,903690.26,Net30
191,51,2,2023-04-12,2023-05-07,2023-05-09,Delivered,0,3528759.47,Net30
192,78,3,2024-12-31,2025-01-11,,Pending,1,31056896.0,Net30
193,12,1,2023-08-17,2023-08-26,2023-08-25,Delivered,0,577840.77,Net30
194,23,10,2024-08-28,2024-09-10,2024-09-12,Delivered,0,3614291.18,Net90
195,73,10,2022-01-23,2022-02-05,2022-02-04,Delivered,0,572689.14,Net90
196,62,2,2023-03-07,2023-04-09,2023-04-18,Delivered,1,5980021.86,Net90
197,79,10,2023-02-02,2023-02-13,2023-02-12,Delivered,0,2867033.93,Net30
198,26,8,2023-05-29,2023-06-10,2023-06-12,Delivered,0,474250.59,Net60
199,26,7,2022-07-24,2022-08-08,2022-08-14,Delivered,1,290657.85,Net60
200,33,2,2024-01-17,2024-02-03,2024-02-03,Delivered,0,738848.5,Immediate
201,63,8,2023-07-21,2023-08-02,2023-08-03,Delivered,0,526102.09,Immediate
202,27,8,2022-08-11,2022-08-30,2022-08-30,Delivered,0,573697.47,Net30
203,74,3,2022-06-04,2022-06-24,2022-06-23,Delivered,0,5549307.72,Net30
204,56,10,2023-06-18,2023-06-29,2023-07-01,Delivered,0,311571.27,Net60
205,48,3,2023-08-19,2023-08-30,2023-08-29,Delivered,0,873449.64,Net60
206,36,6,2024-11-18,2024-11-24,2024-11-24,Delivered,0,32701190.86,Immediate
207,16,8,2023-04-20,2023-04-29,2023-04-28,Delivered,0,15136981.85,Immediate
208,76,3,2022-04-06,2022-04-15,2022-04-14,Delivered,0,8083237.96,Net90
209,52,8,2022-12-23,2023-01-05,2023-01-04,Delivered,0,1411260.68,Net90
210,50,2,2023-12-08,2023-12-29,2023-12-28,Delivered,0,4282365.96,Net60
211,52,2,2022-06-07,2022-06-22,2022-06-22,Delivered,0,1311074.06,Net30
212,36,9,2023-04-17,2023-04-26,2023-04-25,Delivered,0,8593825.85,Immediate
213,53,2,2022-02-15,2022-02-28,2022-03-12,Delivered,1,276580.63,Net60
214,11,1,2023-06-13,2023-06-25,2023-06-27,Delivered,0,19719672.76,Net90
215,65,6,2022-06-25,2022-07-06,2022-07-08,Delivered,0,645347.2,Immediate
216,45,7,2022-10-20,2022-11-11,2022-11-11,Delivered,0,348062.98,Immediate
217,77,8,2022-05-21,2022-06-02,2022-06-01,Delivered,0,3759022.64,Net60
218,24,3,2022-07-17,2022-08-01,2022-07-31,Delivered,0,2565021.2,Net60
219,62,2,2022-01-03,2022-02-09,2022-02-11,Delivered,0,57781.32,Immediate
220,50,10,2023-04-15,2023-05-14,2023-05-16,Delivered,0,622576.74,Net60
221,14,6,2022-06-21,2022-07-08,2022-07-08,Delivered,0,53106.85,Net30
222,11,9,2024-11-30,2024-12-04,2024-12-05,Delivered,0,107276.0,Immediate
223,23,5,2023-06-04,2023-06-18,2023-06-19,Delivered,0,1202586.73,Immediate
224,41,7,2023-01-02,2023-01-23,2023-01-30,Delivered,1,2556767.03,Net30
225,36,7,2023-04-16,2023-04-25,2023-04-25,Delivered,0,5479905.86,Net30
226,68,5,2022-11-26,2022-12-03,2022-12-02,Delivered,0,87709858.14,Net30
227,76,6,2023-06-23,2023-07-05,2023-07-08,Delivered,1,3242879.96,Net30
228,16,6,2022-12-25,2023-01-10,2023-01-10,Delivered,0,1182286.14,Net60
229,42,3,2022-12-14,2023-01-16,2023-01-16,Delivered,0,1190144.63,Immediate
230,49,4,2024-04-10,2024-04-22,2024-04-21,Delivered,0,20839807.59,Net90
231,44,9,2023-12-13,2024-01-01,2024-01-01,Delivered,0,532710.11,Immediate
232,24,8,2024-11-02,2024-11-15,2024-11-22,Delivered,1,29203.28,Net90
233,56,5,2023-05-28,2023-06-10,2023-06-12,Delivered,0,1058226.16,Immediate
234,72,4,2022-02-26,2022-03-07,2022-03-09,Delivered,0,1122255.43,Net60
235,35,9,2023-10-09,2023-10-20,2023-10-19,Delivered,0,1749157.88,Immediate
236,59,5,2023-12-02,2023-12-19,2023-12-20,Delivered,0,17842479.55,Net60
237,45,10,2024-10-18,2024-11-08,2024-11-08,Delivered,0,2209023.41,Net60
238,67,4,2023-12-31,2024-01-14,2024-01-18,Delivered,1,3656888.51,Net30
239,57,4,2024-09-14,2024-09-23,2024-09-24,Delivered,0,8218906.09,Net60
240,68,9,2022-04-21,2022-04-29,2022-04-28,Delivered,0,78679581.9,Immediate
241,40,10,2022-09-04,2022-09-30,2022-09-29,Delivered,0,950064.86,Net90
242,8,2,2023-01-19,2023-02-27,2023-02-28,Delivered,0,729879.93,Net90
243,57,3,2024-01-18,2024-02-01,2024-02-01,Delivered,0,23582888.66,Net90
244,23,1,2023-04-28,2023-05-17,2023-05-17,Delivered,0,162633.29,Net30
245,23,5,2022-12-28,2023-01-14,2023-01-27,Delivered,1,19097652.92,Net90
246,38,7,2022-04-08,2022-04-19,2022-04-18,Delivered,0,272623.89,Net30
247,31,4,2024-07-10,2024-07-26,2024-07-27,Delivered,0,16878065.87,Net30
248,43,2,2023-12-21,2024-01-18,2024-01-18,Delivered,0,20112194.5,Immediate
249,6,3,2024-07-04,2024-07-30,2024-07-31,Delivered,0,131499.92,Net90
250,34,1,2024-05-13,2024-06-04,2024-06-03,Delivered,0,62460.92,Net90
251,53,9,2023-07-02,2023-07-21,2023-07-23,Delivered,0,1634539.0,Immediate
252,10,8,2024-04-27,2024-05-07,2024-05-07,Delivered,0,3010074.22,Net30
253,59,6,2023-03-08,2023-04-06,2023-04-05,Delivered,0,511201.09,Net90
254,50,7,2022-11-15,2022-11-28,2022-11-30,Delivered,0,2921079.55,Immediate
255,60,6,2022-09-16,2022-09-25,2022-09-24,Delivered,0,3624402.17,Immediate
256,80,7,2024-08-14,2024-09-04,2024-09-05,Delivered,0,727267.74,Net60
257,16,9,2024-07-24,2024-08-09,2024-08-11,Delivered,0,482459.34,Net60
258,10,4,2022-07-03,2022-07-17,2022-07-18,Delivered,0,83249.0,Net60
259,66,7,2023-12-06,2023-12-12,2023-12-14,Delivered,0,38862513.72,Net90
260,71,8,2023-04-19,2023-04-26,2023-04-26,Delivered,0,5063515.08,Immediate
261,56,2,2024-02-14,2024-02-22,2024-03-06,Delivered,1,7300740.04,Net90
262,71,1,2024-04-25,2024-04-29,2024-05-04,Delivered,1,1279104.0,Immediate
263,55,6,2023-01-20,2023-01-27,2023-01-26,Delivered,0,15622.36,Net90
264,78,2,2022-09-14,2022-10-07,2022-10-12,Delivered,1,67109.6,Net90
265,24,10,2024-10-17,2024-11-16,2024-11-15,Delivered,0,894432.53,Immediate
266,72,4,2022-05-27,2022-06-06,2022-06-07,Delivered,0,254062.62,Net60
267,62,10,2024-02-28,2024-04-02,2024-04-01,Delivered,0,5816736.75,Net60
268,21,2,2024-08-26,2024-09-05,2024-09-06,Delivered,0,2164540.28,Net30
269,31,2,2023-06-03,2023-06-16,2023-06-17,Delivered,0,72587.7,Immediate
270,23,4,2023-10-27,2023-11-06,2023-11-05,Delivered,0,56343.54,Immediate
271,40,10,2022-11-14,2022-12-15,2022-12-27,Delivered,1,556288.71,Net90
272,35,8,2022-11-12,2022-11-26,2022-11-26,Delivered,0,26202799.19,Net90
273,33,6,2024-06-17,2024-07-03,2024-07-12,Delivered,1,5252134.44,Net30
274,20,10,2024-09-20,2024-10-12,2024-10-14,Delivered,0,342943.4,Net90
275,5,10,2024-08-17,2024-08-29,2024-08-29,Delivered,0,872044.2,Net90
276,28,7,2024-01-22,2024-02-05,2024-02-07,Delivered,0,13083599.88,Net90
277,50,9,2023-05-05,2023-05-22,2023-06-02,Delivered,1,186814.26,Immediate
278,52,8,2022-11-12,2022-11-28,2022-11-29,Delivered,0,1840241.18,Net60
279,64,6,2022-03-06,2022-03-25,2022-04-06,Delivered,1,954691.61,Net90
280,30,4,2022-04-11,2022-04-23,2022-04-22,Delivered,0,226504.46,Net30
281,17,8,2024-08-16,2024-09-02,2024-09-13,Delivered,1,1276747.55,Net30
282,74,1,2023-06-29,2023-07-14,2023-07-15,Delivered,0,52620.91,Net30
283,3,6,2023-04-19,2023-05-09,2023-05-20,Delivered,1,2608651.33,Immediate
284,24,9,2022-08-05,2022-08-31,2022-09-02,Delivered,0,1002219.69,Net60
285,7,5,2024-04-02,2024-04-23,2024-04-25,Delivered,0,21242792.04,Net90
286,40,6,2024-04-24,2024-05-21,2024-05-21,Delivered,0,558924.94,Net90
287,58,8,2024-01-08,2024-02-17,2024-03-02,Delivered,1,328816.2,Net60
288,69,8,2023-09-11,2023-09-18,2023-09-18,Delivered,0,278602.8,Net90
289,46,9,2024-11-13,2024-11-28,2024-11-28,Delivered,0,1338857.39,Net90
290,13,1,2023-05-27,2023-06-13,2023-06-22,Delivered,1,2137937.52,Net90
291,77,10,2024-09-15,2024-09-26,2024-09-25,Delivered,0,576805.32,Immediate
292,71,6,2022-06-10,2022-06-17,2022-06-18,Delivered,0,48550269.83,Net60
293,36,2,2022-01-24,2022-02-04,2022-02-03,Delivered,0,36520.88,Net60
294,79,7,2023-11-01,2023-11-18,2023-11-17,Delivered,0,26904509.3,Net30
295,52,2,2023-03-31,2023-04-14,2023-04-14,Delivered,0,699920.43,Net30
296,54,1,2024-03-28,2024-04-14,2024-04-14,Delivered,0,1012955.43,Net60
297,5,2,2024-12-09,2024-12-20,,Pending,1,3353370.26,Net90
298,69,6,2023-12-15,2023-12-25,2023-12-24,Delivered,0,371556.9,Immediate
299,13,3,2022-10-26,2022-11-16,2022-11-29,Delivered,1,51925.5,Net30
300,57,2,2023-05-13,2023-05-28,2023-05-29,Delivered,0,24311.92,Immediate
301,26,10,2024-08-22,2024-09-01,2024-09-01,Delivered,0,3232760.1,Net60
302,61,4,2022-02-07,2022-02-19,2022-02-18,Delivered,0,260161.2,Net60
303,66,2,2023-07-10,2023-07-14,2023-07-13,Delivered,0,282495.24,Net90
304,70,4,2022-08-09,2022-08-16,2022-08-18,Delivered,0,471926.2,Net90
305,53,1,2024-09-19,2024-10-12,2024-10-12,Delivered,0,913784.43,Net30
306,17,5,2023-05-22,2023-06-09,2023-06-11,Delivered,0,156211.38,Net90
307,62,8,2023-12-29,2024-03-12,2024-03-11,Delivered,0,12219098.49,Net90
308,54,3,2023-04-07,2023-04-22,2023-04-21,Delivered,0,3711832.04,Net60
309,18,9,2024-05-04,2024-05-20,2024-05-27,Delivered,1,15363961.07,Net60
310,34,7,2022-10-11,2022-11-01,2022-11-01,Delivered,0,1813007.77,Net60
311,78,2,2024-05-30,2024-06-27,2024-07-09,Delivered,1,2374141.42,Net30
312,7,2,2023-01-13,2023-01-30,2023-01-31,Delivered,0,2472228.54,Net90
313,50,6,2022-11-08,2022-12-04,2022-12-09,Delivered,1,28212837.49,Net60
314,56,3,2023-04-21,2023-04-29,2023-05-03,Delivered,1,740294.8,Immediate
315,44,4,2024-02-05,2024-02-14,2024-02-16,Delivered,0,856403.55,Immediate
316,41,1,2022-01-31,2022-03-04,2022-03-17,Delivered,1,448623.39,Immediate
317,28,9,2024-09-30,2024-10-17,2024-10-17,Delivered,0,153511.68,Immediate
