shipment_id,order_id,warehouse_id,shipment_partner,ship_date,expected_delivery_date,actual_delivery_date,is_delayed,transit_days,destination_region,shipment_status,vehicle_type
27,37,6,FedEx,2024-07-15,2024-07-21,2024-07-19,0,4,West,Delivered,Truck
28,38,3,Ekart,2024-12-22,2024-12-27,2025-01-03,0,12,West,Delivered,Rail
29,39,10,DHL,2022-09-15,2022-09-19,2022-09-26,0,11,South,Delivered,Rail
30,41,6,Ekart,2024-03-19,2024-03-26,2024-03-26,0,7,South,Delivered,Rail
31,42,9,DTDC,2023-02-28,2023-03-10,2023-03-04,0,4,Central,Delivered,Rail
32,44,7,DHL,2022-08-15,2022-08-20,2022-08-22,0,7,North,Delivered,Rail
33,47,10,FedEx,2023-10-12,2023-10-21,2023-10-18,0,6,East,Delivered,Rail
34,48,3,FedEx,2023-07-28,2023-08-02,2023-08-03,0,6,East,Delivered,Rail
35,49,3,BlueDart,2022-07-30,2022-08-04,2022-08-04,0,5,East,Delivered,Van
36,50,10,DHL,2024-05-10,2024-05-17,2024-05-15,0,5,North,Delivered,Rail
37,52,8,Ekart,2023-01-03,2023-01-06,2023-01-15,0,12,East,Delivered,Truck
38,53,3,Delhivery,2024-04-27,2024-05-03,2024-05-14,1,17,East,Delivered,Van
39,54,10,Ekart,2024-10-23,2024-10-29,2024-10-28,0,5,West,Delivered,Air
40,55,4,DHL,2024-08-29,2024-09-08,2024-09-07,0,9,West,Delivered,Rail
41,56,6,DTDC,2022-09-07,2022-09-14,2022-09-14,0,7,West,Delivered,Van
42,57,5,DTDC,2024-08-19,2024-08-25,2024-08-22,0,3,Central,Delivered,Rail
43,58,4,Delhivery,2023-03-11,2023-03-16,2023-03-28,1,17,South,Delivered,Truck
44,59,1,DHL,2024-01-02,2024-01-11,2024-01-07,0,5,South,Delivered,Air
45,60,5,DTDC,2022-08-12,2022-08-21,2022-08-22,0,10,East,Delivered,Truck
46,62,8,FedEx,2022-04-16,2022-04-26,2022-04-25,0,9,Central,Delivered,Van
47,63,4,Delhivery,2024-11-09,2024-11-14,2024-11-16,0,7,Central,Delivered,Truck
48,65,10,FedEx,2022-02-10,2022-02-14,2022-02-22,0,12,North,Delivered,Air
49,66,8,DHL,2024-09-09,2024-09-18,2024-09-22,1,13,Central,Delivered,Rail
50,68,10,FedEx,2023-03-11,2023-03-21,2023-03-19,0,8,West,Delivered,Truck
51,69,10,FedEx,2024-08-15,2024-08-19,2024-08-25,0,10,West,Delivered,Rail
52,71,3,FedEx,2022-03-01,2022-03-04,2022-03-11,1,10,Central,Delivered,Van
53,73,9,DTDC,2024-09-18,2024-09-26,2024-09-25,0,7,Central,Delivered,Air
54,74,7,Ekart,2023-12-07,2023-12-10,2023-12-12,0,5,East,Delivered,Rail
55,75,4,DHL,2022-01-06,2022-01-13,2022-01-20,1,14,East,Delivered,Truck
56,76,8,BlueDart,2024-05-01,2024-05-09,2024-05-10,0,9,Central,Delivered,Air
57,77,1,DTDC,2024-04-16,2024-04-22,2024-04-23,0,7,East,Delivered,Rail
58,78,2,DHL,2022-03-21,2022-03-30,2022-03-31,0,10,North,Delivered,Rail
59,79,7,BlueDart,2023-05-05,2023-05-14,2023-05-15,0,10,North,Delivered,Rail
60,80,6,DHL,2024-02-22,2024-02-28,2024-02-25,0,3,Central,Delivered,Truck
61,81,5,Ekart,2023-02-04,2023-02-14,2023-02-09,0,5,South,Delivered,Air
62,82,2,Delhivery,2024-03-25,2024-04-02,2024-04-03,0,9,South,Delivered,Rail
63,83,7,Ekart,2023-06-18,2023-06-21,2023-06-22,0,4,West,Delivered,Van
64,84,3,BlueDart,2023-09-15,2023-09-21,2023-09-24,0,9,South,Delivered,Van
65,85,8,DTDC,2024-08-17,2024-08-22,2024-08-25,0,8,Central,Delivered,Air
66,87,3,DTDC,2023-01-06,2023-01-11,2023-01-18,1,12,South,Delivered,Air
67,88,3,BlueDart,2024-09-19,2024-09-22,2024-09-26,0,7,West,Delivered,Van
68,90,6,Ekart,2024-07-31,2024-08-03,2024-08-11,0,11,North,Delivered,Truck
69,91,5,DTDC,2023-11-14,2023-11-17,2023-11-24,1,10,Central,Delivered,Truck
70,92,5,BlueDart,2024-12-12,2024-12-15,2024-12-23,0,11,North,Delivered,Truck
71,94,4,BlueDart,2023-01-19,2023-01-28,2023-02-01,1,13,North,Delivered,Van
72,95,1,Ekart,2023-07-13,2023-07-17,2023-07-25,0,12,Central,Delivered,Rail
73,96,6,Delhivery,2022-05-09,2022-05-17,2022-05-13,0,4,West,Delivered,Rail
74,97,5,Delhivery,2024-06-20,2024-06-25,2024-06-27,0,7,North,Delivered,Truck
75,98,8,FedEx,2023-01-18,2023-01-22,2023-01-29,0,11,South,Delivered,Van
76,100,7,DHL,2023-10-03,2023-10-13,2023-10-10,0,7,Central,Delivered,Van
77,101,9,BlueDart,2023-01-19,2023-01-23,2023-01-27,0,8,South,Delivered,Air
78,102,3,DTDC,2023-07-11,2023-07-15,2023-07-17,0,6,North,Delivered,Rail
79,103,4,FedEx,2024-06-04,2024-06-10,2024-06-13,0,9,Central,Delivered,Air
80,104,7,DHL,2022-12-30,2023-01-03,2023-01-13,1,14,Central,Delivered,Truck
81,105,5,Ekart,2024-02-29,2024-03-05,2024-03-03,0,3,North,Delivered,Rail
82,107,9,BlueDart,2023-11-26,2023-12-03,2023-11-30,0,4,East,Delivered,Air
83,108,3,Delhivery,2022-06-05,2022-06-12,2022-06-08,0,3,South,Delivered,Rail
84,109,4,BlueDart,2024-02-16,2024-02-23,2024-02-24,0,8,West,Delivered,Air
85,112,2,DTDC,2023-02-17,2023-02-25,2023-03-01,1,12,North,Delivered,Truck
86,113,8,BlueDart,2023-02-09,2023-02-19,2023-02-13,0,4,East,Delivered,Truck
87,114,1,DHL,2024-01-07,2024-01-16,2024-01-19,0,12,Central,Delivered,Air
88,115,10,DHL,2024-02-08,2024-02-17,2024-02-17,0,9,North,Delivered,Rail
89,116,8,FedEx,2023-01-19,2023-01-25,2023-01-30,0,11,North,Delivered,Air
90,117,10,Ekart,2022-11-19,2022-11-25,2022-12-03,1,14,Central,Delivered,Rail
91,118,10,Ekart,2022-05-30,2022-06-04,2022-06-02,0,3,South,Delivered,Van
92,119,7,DHL,2022-06-27,2022-07-01,2022-07-08,0,11,North,Delivered,Rail
93,120,6,BlueDart,2024-06-02,2024-06-09,2024-06-08,0,6,West,Delivered,Air
94,121,5,FedEx,2024-09-02,2024-09-05,2024-09-06,0,4,Central,Delivered,Truck
95,122,7,BlueDart,2023-08-23,2023-08-28,2023-08-28,0,5,South,Delivered,Rail
96,123,3,DHL,2025-01-02,2025-01-11,2025-01-09,0,7,East,Delivered,Truck
97,125,10,BlueDart,2023-05-04,2023-05-08,2023-05-09,0,5,Central,Delivered,Van
98,127,3,FedEx,2022-12-12,2022-12-15,2023-01-01,1,20,Central,Delivered,Truck
99,130,5,DTDC,2022-03-28,2022-04-03,2022-04-03,0,6,West,Delivered,Van
100,131,4,FedEx,2024-10-31,2024-11-05,2024-11-11,0,11,South,Delivered,Van
101,132,9,BlueDart,2024-09-21,2024-10-01,2024-09-24,0,3,West,Delivered,Van
102,133,4,DTDC,2022-11-22,2022-11-27,2022-11-30,1,8,West,Delivered,Rail
103,134,10,DHL,2024-08-07,2024-08-15,2024-08-18,0,11,North,Delivered,Truck
104,135,7,DTDC,2022-05-18,2022-05-22,2022-05-30,0,12,North,Delivered,Rail
105,136,2,FedEx,2022-05-22,2022-05-30,2022-05-29,0,7,Central,Delivered,Air
106,137,1,DTDC,2023-05-30,2023-06-02,2023-06-12,1,13,West,Delivered,Air
107,138,7,FedEx,2024-01-08,2024-01-11,2024-01-17,0,9,West,Delivered,Rail
108,139,3,Delhivery,2023-06-11,2023-06-20,2023-06-16,0,5,East,Delivered,Rail
109,140,2,Ekart,2024-01-15,2024-01-21,2024-01-29,1,14,West,Delivered,Air
110,142,1,BlueDart,2024-12-08,2024-12-17,2024-12-14,0,6,West,Delivered,Air
111,144,6,Ekart,2024-06-08,2024-06-18,2024-06-19,0,11,South,Delivered,Air
112,146,6,DHL,2024-10-19,2024-10-27,2024-10-31,1,12,Central,Delivered,Van
113,147,8,Ekart,2024-07-12,2024-07-22,2024-07-21,0,9,East,Delivered,Truck
114,148,9,DTDC,2023-07-19,2023-07-27,2023-07-30,0,11,Central,Delivered,Truck
115,149,3,DTDC,2022-01-27,2022-02-06,2022-02-05,0,9,Central,Delivered,Air
116,151,8,FedEx,2024-09-11,2024-09-19,2024-09-22,1,11,North,Delivered,Van
117,153,8,DHL,2023-12-11,2023-12-17,2023-12-19,0,8,North,Delivered,Van
118,154,1,DHL,2022-02-11,2022-02-19,2022-02-19,1,8,West,Delivered,Van
119,155,8,BlueDart,2022-08-28,2022-09-06,2022-09-01,0,4,West,Delivered,Truck
120,157,8,FedEx,2022-05-17,2022-05-27,2022-05-26,0,9,West,Delivered,Truck
121,158,10,DHL,2023-07-12,2023-07-21,2023-07-17,0,5,West,Delivered,Air
122,159,4,FedEx,2023-07-07,2023-07-12,2023-07-20,1,13,West,Delivered,Truck
123,161,6,Ekart,2024-09-27,2024-10-02,2024-10-13,1,16,East,Delivered,Truck
124,162,9,Ekart,2024-09-10,2024-09-16,2024-09-29,1,19,South,Delivered,Air
125,163,4,Delhivery,2023-02-23,2023-02-26,2023-03-03,0,8,Central,Delivered,Van
126,164,10,DTDC,2024-01-12,2024-01-16,2024-01-17,0,5,Central,Delivered,Truck
127,165,9,Delhivery,2024-04-19,2024-04-29,2024-04-22,0,3,South,Delivered,Truck
128,166,3,DTDC,2023-05-18,2023-05-23,2023-05-26,0,8,Central,Delivered,Rail
129,167,10,Ekart,2022-09-11,2022-09-17,2022-09-18,0,7,East,Delivered,Truck
130,168,6,DHL,2024-10-16,2024-10-24,2024-10-22,0,6,East,Delivered,Air
131,170,6,DHL,2024-10-26,2024-11-04,2024-11-02,0,7,East,Delivered,Air
132,171,5,Delhivery,2022-08-19,2022-08-29,2022-08-30,1,11,East,Delivered,Truck
133,172,1,FedEx,2023-08-04,2023-08-10,2023-08-12,1,8,East,Delivered,Air
134,174,2,DTDC,2024-09-26,2024-09-30,2024-10-06,0,10,West,Delivered,Air
135,175,7,Ekart,2023-07-03,2023-07-07,2023-07-07,0,4,East,Delivered,Air
136,176,7,Ekart,2023-09-09,2023-09-14,2023-09-16,0,7,South,Delivered,Truck
137,177,7,BlueDart,2023-04-22,2023-05-01,2023-04-29,0,7,Central,Delivered,Air
138,178,7,DHL,2022-07-22,2022-07-25,2022-08-12,1,21,North,Delivered,Air
139,179,6,Delhivery,2023-01-25,2023-02-02,2023-01-31,0,6,North,Delivered,Van
140,181,9,FedEx,2023-12-02,2023-12-11,2023-12-12,0,10,North,Delivered,Rail
141,183,3,DTDC,2022-05-25,2022-06-01,2022-06-04,1,10,North,Delivered,Van
142,184,3,BlueDart,2024-06-04,2024-06-10,2024-06-07,0,3,West,Delivered,Air
143,185,4,Delhivery,2022-03-10,2022-03-19,2022-03-15,0,5,South,Delivered,Truck
144,186,8,BlueDart,2023-09-29,2023-10-09,2023-10-11,0,12,South,Delivered,Air
145,187,1,DTDC,2023-12-30,2024-01-08,2024-01-11,0,12,South,Delivered,Truck
146,188,7,Ekart,2024-08-03,2024-08-06,2024-08-11,0,8,West,Delivered,Van
147,191,3,BlueDart,2023-01-15,2023-01-21,2023-01-25,0,10,Central,Delivered,Van
148,193,5,DTDC,2022-08-07,2022-08-13,2022-08-13,0,6,South,Delivered,Rail
149,194,6,Delhivery,2022-05-26,2022-06-02,2022-06-03,0,8,East,Delivered,Rail
150,195,4,DHL,2024-07-19,2024-07-25,2024-07-22,0,3,West,Delivered,Truck
151,196,8,Ekart,2022-06-30,2022-07-07,2022-07-12,0,12,North,Delivered,Air
152,197,7,BlueDart,2023-11-15,2023-11-20,2023-12-03,1,18,North,Delivered,Van
153,199,8,DTDC,2024-04-10,2024-04-16,2024-04-18,0,8,West,Delivered,Truck
154,201,6,Ekart,2023-10-30,2023-11-04,2023-11-07,0,8,West,Delivered,Air
155,202,1,DTDC,2023-02-27,2023-03-08,2023-03-19,1,20,Central,Delivered,Air
156,203,8,DHL,2022-01-22,2022-01-31,2022-01-28,0,6,Central,Delivered,Rail
157,205,6,FedEx,2022-12-29,2023-01-05,2023-01-09,0,11,West,Delivered,Van
158,206,4,Ekart,2022-09-07,2022-09-11,2022-09-12,0,5,East,Delivered,Air
159,207,1,FedEx,2022-07-03,2022-07-09,2022-07-14,0,11,Central,Delivered,Truck
160,208,6,DTDC,2022-10-09,2022-10-13,2022-10-20,0,11,West,Delivered,Truck
161,209,1,DHL,2024-10-28,2024-11-03,2024-10-31,0,3,South,Delivered,Van
162,210,2,BlueDart,2023-09-17,2023-09-25,2023-09-22,0,5,South,Delivered,Van
163,211,9,BlueDart,2024-07-12,2024-07-22,2024-07-18,0,6,Central,Delivered,Air
164,213,4,Ekart,2024-01-25,2024-01-30,2024-01-30,0,5,East,Delivered,Truck
165,214,9,Ekart,2023-10-22,2023-10-25,2023-11-02,0,11,East,Delivered,Rail
166,215,6,Delhivery,2022-11-12,2022-11-18,2022-11-18,0,6,West,Delivered,Van
167,216,4,BlueDart,2024-04-09,2024-04-15,2024-04-17,0,8,South,Delivered,Rail
168,217,10,DTDC,2022-01-06,2022-01-15,2022-01-11,0,5,East,Delivered,Truck
169,218,1,BlueDart,2023-04-12,2023-04-18,2023-04-23,0,11,East,Delivered,Air
170,219,5,DHL,2024-02-02,2024-02-05,2024-02-10,0,8,North,Delivered,Air
171,220,9,DTDC,2024-11-11,2024-11-21,2024-11-18,0,7,Central,Delivered,Truck
172,221,2,DHL,2023-05-29,2023-06-03,2023-06-08,0,10,West,Delivered,Van
173,222,8,Ekart,2023-10-06,2023-10-13,2023-10-09,0,3,North,Delivered,Air
174,225,3,FedEx,2023-11-04,2023-11-12,2023-11-15,0,11,West,Delivered,Van
175,226,10,Delhivery,2022-07-05,2022-07-12,2022-07-11,0,6,Central,Delivered,Rail
176,227,8,Delhivery,2023-07-11,2023-07-18,2023-07-15,0,4,East,Delivered,Rail
177,228,10,Delhivery,2022-10-09,2022-10-15,2022-10-21,0,12,South,Delivered,Rail
178,229,8,DTDC,2022-12-26,2023-01-04,2023-01-01,0,6,Central,Delivered,Van
179,230,9,Ekart,2022-06-25,2022-06-28,2022-07-03,0,8,East,Delivered,Rail
180,231,5,Delhivery,2024-11-17,2024-11-27,2024-11-23,0,6,Central,Delivered,Van
181,232,9,BlueDart,2024-07-03,2024-07-08,2024-07-15,0,12,East,Delivered,Rail
182,233,5,FedEx,2023-10-11,2023-10-19,2023-10-26,1,15,East,Delivered,Air
183,234,6,BlueDart,2024-10-25,2024-10-29,2024-11-06,0,12,Central,Delivered,Rail
184,236,1,Delhivery,2023-10-22,2023-10-28,2023-10-31,0,9,West,Delivered,Truck
185,237,2,FedEx,2023-12-01,2023-12-09,2023-12-13,0,12,Central,Delivered,Van
186,238,9,Delhivery,2024-05-15,2024-05-20,2024-05-20,0,5,Central,Delivered,Rail
187,239,7,DHL,2023-08-12,2023-08-19,2023-08-15,0,3,Central,Delivered,Air
188,240,8,DHL,2024-04-10,2024-04-13,2024-04-22,0,12,West,Delivered,Air
189,242,6,FedEx,2022-04-14,2022-04-20,2022-04-23,0,9,West,Delivered,Truck
190,243,6,Delhivery,2024-10-17,2024-10-20,2024-10-23,0,6,East,Delivered,Truck
191,244,5,BlueDart,2023-11-03,2023-11-13,2023-11-18,1,15,North,Delivered,Rail
192,245,4,DTDC,2024-05-28,2024-06-01,2024-05-31,0,3,East,Delivered,Rail
193,246,3,Delhivery,2023-12-15,2023-12-22,2023-12-20,0,5,South,Delivered,Van
194,247,6,DTDC,2023-01-07,2023-01-15,2023-01-11,0,4,West,Delivered,Truck
195,248,1,BlueDart,2022-04-08,2022-04-14,2022-04-11,0,3,North,Delivered,Air
196,249,6,Delhivery,2022-05-08,2022-05-15,2022-05-13,0,5,West,Delivered,Air
197,251,8,DHL,2023-05-02,2023-05-07,2023-05-12,0,10,South,Delivered,Rail
198,253,2,FedEx,2023-01-01,2023-01-07,2023-01-07,0,6,North,Delivered,Truck
199,254,3,FedEx,2023-02-18,2023-02-25,2023-02-26,0,8,East,Delivered,Air
200,255,6,FedEx,2022-03-16,2022-03-24,2022-03-26,0,10,West,Delivered,Air
201,256,3,DTDC,2023-09-05,2023-09-13,2023-09-08,0,3,North,Delivered,Air
202,258,4,Delhivery,2023-03-16,2023-03-25,2023-03-24,0,8,Central,Delivered,Truck
203,260,9,BlueDart,2024-02-07,2024-02-10,2024-02-27,1,20,South,Delivered,Rail
204,261,9,DHL,2022-03-26,2022-04-03,2022-04-03,1,8,Central,Delivered,Air
205,263,5,DTDC,2023-03-12,2023-03-15,2023-03-19,0,7,West,Delivered,Van
206,264,3,FedEx,2022-09-14,2022-09-23,2022-09-27,1,13,Central,Delivered,Air
207,265,7,Ekart,2023-01-28,2023-02-06,2023-02-09,0,12,West,Delivered,Rail
208,267,8,Delhivery,2022-07-13,2022-07-20,2022-07-20,0,7,South,Delivered,Van
209,269,4,DTDC,2024-06-02,2024-06-10,2024-06-06,0,4,East,Delivered,Van
210,270,10,DTDC,2023-02-07,2023-02-13,2023-02-17,0,10,North,Delivered,Air
211,271,5,DHL,2023-03-17,2023-03-20,2023-03-21,0,4,East,Delivered,Van
212,272,3,BlueDart,2022-10-16,2022-10-22,2022-10-25,0,9,East,Delivered,Air
213,273,7,Delhivery,2023-07-09,2023-07-16,2023-07-21,0,12,West,Delivered,Air
214,274,1,Delhivery,2023-07-29,2023-08-05,2023-08-13,1,15,East,Delivered,Rail
215,275,2,Delhivery,2024-09-09,2024-09-17,2024-09-16,0,7,East,Delivered,Van
216,276,10,FedEx,2023-10-12,2023-10-15,2023-10-15,0,3,North,Delivered,Rail
217,277,10,BlueDart,2024-11-26,2024-12-05,2024-12-05,0,9,North,Delivered,Van
218,279,3,DHL,2022-03-15,2022-03-25,2022-03-20,0,5,Central,Delivered,Rail
219,281,3,FedEx,2022-05-06,2022-05-16,2022-05-16,0,10,South,Delivered,Rail
220,282,2,BlueDart,2024-01-18,2024-01-28,2024-01-21,0,3,West,Delivered,Van
221,284,2,DHL,2022-07-10,2022-07-19,2022-07-14,0,4,South,Delivered,Truck
222,285,5,DTDC,2023-09-22,2023-10-01,2023-09-30,0,8,South,Delivered,Air
223,286,6,DHL,2023-06-14,2023-06-20,2023-06-26,1,12,East,Delivered,Air
224,287,6,BlueDart,2022-03-27,2022-04-02,2022-04-04,0,8,Central,Delivered,Air
225,288,9,BlueDart,2023-07-22,2023-07-27,2023-08-03,0,12,South,Delivered,Rail
226,290,10,FedEx,2023-06-30,2023-07-07,2023-07-05,0,5,Central,Delivered,Air
227,291,4,DHL,2022-07-06,2022-07-16,2022-07-11,0,5,West,Delivered,Truck
228,292,3,DTDC,2023-04-19,2023-04-23,2023-04-30,0,11,East,Delivered,Air
229,293,2,BlueDart,2023-03-06,2023-03-13,2023-03-16,0,10,West,Delivered,Truck
230,295,10,FedEx,2022-03-07,2022-03-15,2022-03-19,0,12,West,Delivered,Van
231,296,7,DHL,2022-05-29,2022-06-01,2022-06-03,0,5,West,Delivered,Van
232,297,7,BlueDart,2024-03-08,2024-03-18,2024-03-16,0,8,East,Delivered,Air
233,298,9,FedEx,2024-08-23,2024-08-28,2024-08-29,0,6,North,Delivered,Air
234,299,2,DHL,2024-10-30,2024-11-02,2024-11-03,0,4,Central,Delivered,Air
235,301,2,Delhivery,2022-11-02,2022-11-06,2022-11-10,0,8,East,Delivered,Rail
236,302,1,Delhivery,2023-08-14,2023-08-21,2023-08-19,0,5,East,Delivered,Rail
237,303,2,FedEx,2022-06-28,2022-07-05,2022-07-06,0,8,East,Delivered,Rail
238,304,4,DHL,2024-05-06,2024-05-10,2024-05-19,1,13,South,Delivered,Truck
239,305,5,DTDC,2024-10-30,2024-11-05,2024-11-09,0,10,Central,Delivered,Truck
240,306,3,DHL,2022-11-11,2022-11-16,2022-11-14,0,3,East,Delivered,Rail
241,307,7,DTDC,2022-09-20,2022-09-30,2022-10-04,1,14,West,Delivered,Van
242,308,3,DTDC,2023-12-09,2023-12-15,2023-12-18,0,9,Central,Delivered,Van
243,309,6,Delhivery,2023-02-08,2023-02-11,2023-02-13,0,5,Central,Delivered,Rail
244,310,8,Delhivery,2023-04-01,2023-04-05,2023-04-06,0,5,South,Delivered,Van
245,311,10,Delhivery,2022-12-17,2022-12-24,2022-12-28,0,11,South,Delivered,Air
246,312,7,Ekart,2022-05-03,2022-05-12,2022-05-17,1,14,East,Delivered,Truck
247,314,2,FedEx,2023-08-30,2023-09-08,2023-09-07,0,8,North,Delivered,Rail
248,315,2,DHL,2023-11-27,2023-12-07,2023-12-05,0,8,East,Delivered,Air
249,317,10,FedEx,2024-12-26,2025-01-02,2025-01-04,0,9,East,Delivered,Truck
250,318,1,Delhivery,2022-05-29,2022-06-08,2022-06-04,0,6,East,Delivered,Van
251,319,7,Ekart,2024-12-15,2024-12-25,2024-12-19,0,4,West,Delivered,Air
252,320,5,DHL,2022-12-24,2022-12-28,2022-12-31,0,7,West,Delivered,Rail
253,321,1,BlueDart,2023-05-21,2023-05-30,2023-06-01,0,11,West,Delivered,Rail
254,322,4,DTDC,2023-06-27,2023-07-03,2023-07-05,0,8,East,Delivered,Truck
255,323,9,Delhivery,2022-06-15,2022-06-20,2022-06-21,0,6,East,Delivered,Air
256,324,4,FedEx,2022-06-29,2022-07-04,2022-07-08,0,9,West,Delivered,Air
257,325,7,BlueDart,2024-08-23,2024-09-01,2024-09-07,1,15,East,Delivered,Van
258,326,7,Ekart,2023-08-25,2023-08-30,2023-08-31,0,6,East,Delivered,Truck
259,327,9,DHL,2024-06-17,2024-06-27,2024-07-09,1,22,West,Delivered,Truck
260,328,5,Delhivery,2024-02-08,2024-02-13,2024-02-15,0,7,North,Delivered,Air
261,329,7,Ekart,2023-04-21,2023-04-27,2023-04-30,0,9,East,Delivered,Van
262,330,6,FedEx,2023-06-25,2023-06-30,2023-06-28,0,3,North,Delivered,Air
263,331,2,DHL,2022-07-07,2022-07-13,2022-07-12,0,5,North,Delivered,Air
264,332,2,Ekart,2024-03-12,2024-03-18,2024-03-24,1,12,East,Delivered,Van
265,333,6,Delhivery,2022-07-12,2022-07-22,2022-07-17,0,5,North,Delivered,Rail
266,336,8,Ekart,2022-11-25,2022-12-05,2022-12-05,0,10,West,Delivered,Van
267,337,6,DHL,2023-08-06,2023-08-10,2023-08-12,0,6,West,Delivered,Rail
268,339,5,DTDC,2022-07-24,2022-08-02,2022-08-03,0,10,South,Delivered,Truck
269,340,4,FedEx,2022-01-23,2022-01-31,2022-02-05,1,13,Central,Delivered,Air
270,341,6,Delhivery,2022-01-30,2022-02-07,2022-02-05,0,6,North,Delivered,Truck
271,342,7,DTDC,2024-08-15,2024-08-21,2024-08-22,0,7,East,Delivered,Rail
272,343,10,Ekart,2022-03-19,2022-03-24,2022-03-31,0,12,West,Delivered,Truck
273,344,2,Delhivery,2024-05-24,2024-05-29,2024-06-01,0,8,North,Delivered,Rail
274,346,1,Ekart,2024-12-10,2024-12-19,2024-12-21,1,11,West,Delivered,Rail
275,348,9,BlueDart,2022-05-21,2022-05-31,2022-05-27,0,6,South,Delivered,Van
276,350,4,Ekart,2025-01-02,2025-01-10,2025-01-12,0,10,North,Delivered,Air
277,351,9,BlueDart,2023-02-18,2023-02-23,2023-02-27,0,9,East,Delivered,Air
278,354,6,DHL,2024-03-29,2024-04-03,2024-04-11,1,13,North,Delivered,Truck
279,356,1,Ekart,2025-01-03,2025-01-07,2025-01-09,0,6,North,Delivered,Truck
280,357,2,DHL,2023-10-21,2023-10-27,2023-10-28,0,7,Central,Delivered,Air
281,358,5,Delhivery,2024-04-23,2024-04-30,2024-04-30,0,7,Central,Delivered,Truck
282,359,7,BlueDart,2024-02-22,2024-02-28,2024-03-05,0,12,West,Delivered,Air
283,360,6,DHL,2023-02-18,2023-02-22,2023-02-28,0,10,East,Delivered,Van
284,361,7,Delhivery,2023-02-10,2023-02-20,2023-02-22,0,12,West,Delivered,Truck
285,362,2,Delhivery,2024-08-04,2024-08-12,2024-08-17,1,13,South,Delivered,Rail
286,363,8,Ekart,2023-12-28,2024-01-04,2024-01-13,1,16,West,Delivered,Truck
287,364,4,BlueDart,2023-08-23,2023-08-26,2023-09-05,1,13,Central,Delivered,Van
288,366,6,Delhivery,2023-01-26,2023-02-03,2023-02-06,0,11,Central,Delivered,Air
289,367,4,Ekart,2024-08-14,2024-08-20,2024-08-24,0,10,West,Delivered,Rail
290,368,10,BlueDart,2023-01-15,2023-01-20,2023-01-26,0,11,South,Delivered,Air
291,369,3,Delhivery,2022-11-26,2022-11-29,2022-12-08,0,12,West,Delivered,Van
292,370,7,BlueDart,2023-02-21,2023-02-24,2023-02-26,0,5,West,Delivered,Van
293,371,4,Ekart,2024-01-08,2024-01-14,2024-01-12,0,4,East,Delivered,Air
294,372,6,FedEx,2022-10-09,2022-10-14,2022-10-18,0,9,West,Delivered,Air
295,374,5,DTDC,2024-10-17,2024-10-22,2024-10-28,0,11,East,Delivered,Rail
