shipment_id,order_id,warehouse_id,shipment_partner,ship_date,expected_delivery_date,actual_delivery_date,is_delayed,transit_days,destination_region,shipment_status,vehicle_type,delay_days,delay_severity
48,65,10,FedEx,2022-02-10,2022-02-14,2022-02-22,0,12,North,Delivered,Air,8,Severe Delay
49,66,8,DHL,2024-09-09,2024-09-18,2024-09-22,1,13,Central,Delivered,Rail,4,Moderate Delay
50,68,10,FedEx,2023-03-11,2023-03-21,2023-03-19,0,8,West,Delivered,Truck,0,On Time
51,69,10,FedEx,2024-08-15,2024-08-19,2024-08-25,0,10,West,Delivered,Rail,6,Moderate Delay
52,71,3,FedEx,2022-03-01,2022-03-04,2022-03-11,1,10,Central,Delivered,Van,7,Moderate Delay
53,73,9,DTDC,2024-09-18,2024-09-26,2024-09-25,0,7,Central,Delivered,Air,0,On Time
54,74,7,Ekart,2023-12-07,2023-12-10,2023-12-12,0,5,East,Delivered,Rail,2,Minor Delay
55,75,4,DHL,2022-01-06,2022-01-13,2022-01-20,1,14,East,Delivered,Truck,7,Moderate Delay
56,76,8,BlueDart,2024-05-01,2024-05-09,2024-05-10,0,9,Central,Delivered,Air,1,Minor Delay
57,77,1,DTDC,2024-04-16,2024-04-22,2024-04-23,0,7,East,Delivered,Rail,1,Minor Delay
58,78,2,DHL,2022-03-21,2022-03-30,2022-03-31,0,10,North,Delivered,Rail,1,Minor Delay
59,79,7,BlueDart,2023-05-05,2023-05-14,2023-05-15,0,10,North,Delivered,Rail,1,Minor Delay
60,80,6,DHL,2024-02-22,2024-02-28,2024-02-25,0,3,Central,Delivered,Truck,0,On Time
61,81,5,Ekart,2023-02-04,2023-02-14,2023-02-09,0,5,South,Delivered,Air,0,On Time
62,82,2,Delhivery,2024-03-25,2024-04-02,2024-04-03,0,9,South,Delivered,Rail,1,Minor Delay
63,83,7,Ekart,2023-06-18,2023-06-21,2023-06-22,0,4,West,Delivered,Van,1,Minor Delay
64,84,3,BlueDart,2023-09-15,2023-09-21,2023-09-24,0,9,South,Delivered,Van,3,Minor Delay
65,85,8,DTDC,2024-08-17,2024-08-22,2024-08-25,0,8,Central,Delivered,Air,3,Minor Delay
66,87,3,DTDC,2023-01-06,2023-01-11,2023-01-18,1,12,South,Delivered,Air,7,Moderate Delay
67,88,3,BlueDart,2024-09-19,2024-09-22,2024-09-26,0,7,West,Delivered,Van,4,Moderate Delay
68,90,6,Ekart,2024-07-31,2024-08-03,2024-08-11,0,11,North,Delivered,Truck,8,Severe Delay
69,91,5,DTDC,2023-11-14,2023-11-17,2023-11-24,1,10,Central,Delivered,Truck,7,Moderate Delay
70,92,5,BlueDart,2024-12-12,2024-12-15,2024-12-23,0,11,North,Delivered,Truck,8,Severe Delay
71,94,4,BlueDart,2023-01-19,2023-01-28,2023-02-01,1,13,North,Delivered,Van,4,Moderate Delay
72,95,1,Ekart,2023-07-13,2023-07-17,2023-07-25,0,12,Central,Delivered,Rail,8,Severe Delay
73,96,6,Delhivery,2022-05-09,2022-05-17,2022-05-13,0,4,West,Delivered,Rail,0,On Time
74,97,5,Delhivery,2024-06-20,2024-06-25,2024-06-27,0,7,North,Delivered,Truck,2,Minor Delay
75,98,8,FedEx,2023-01-18,2023-01-22,2023-01-29,0,11,South,Delivered,Van,7,Moderate Delay
76,100,7,DHL,2023-10-03,2023-10-13,2023-10-10,0,7,Central,Delivered,Van,0,On Time
77,101,9,BlueDart,2023-01-19,2023-01-23,2023-01-27,0,8,South,Delivered,Air,4,Moderate Delay
78,102,3,DTDC,2023-07-11,2023-07-15,2023-07-17,0,6,North,Delivered,Rail,2,Minor Delay
79,103,4,FedEx,2024-06-04,2024-06-10,2024-06-13,0,9,Central,Delivered,Air,3,Minor Delay
80,104,7,DHL,2022-12-30,2023-01-03,2023-01-13,1,14,Central,Delivered,Truck,10,Severe Delay
81,105,5,Ekart,2024-02-29,2024-03-05,2024-03-03,0,3,North,Delivered,Rail,0,On Time
82,107,9,BlueDart,2023-11-26,2023-12-03,2023-11-30,0,4,East,Delivered,Air,0,On Time
83,108,3,Delhivery,2022-06-05,2022-06-12,2022-06-08,0,3,South,Delivered,Rail,0,On Time
84,109,4,BlueDart,2024-02-16,2024-02-23,2024-02-24,0,8,West,Delivered,Air,1,Minor Delay
85,112,2,DTDC,2023-02-17,2023-02-25,2023-03-01,1,12,North,Delivered,Truck,4,Moderate Delay
86,113,8,BlueDart,2023-02-09,2023-02-19,2023-02-13,0,4,East,Delivered,Truck,0,On Time
87,114,1,DHL,2024-01-07,2024-01-16,2024-01-19,0,12,Central,Delivered,Air,3,Minor Delay
88,115,10,DHL,2024-02-08,2024-02-17,2024-02-17,0,9,North,Delivered,Rail,0,On Time
89,116,8,FedEx,2023-01-19,2023-01-25,2023-01-30,0,11,North,Delivered,Air,5,Moderate Delay
90,117,10,Ekart,2022-11-19,2022-11-25,2022-12-03,1,14,Central,Delivered,Rail,8,Severe Delay
91,118,10,Ekart,2022-05-30,2022-06-04,2022-06-02,0,3,South,Delivered,Van,0,On Time
92,119,7,DHL,2022-06-27,2022-07-01,2022-07-08,0,11,North,Delivered,Rail,7,Moderate Delay
93,120,6,BlueDart,2024-06-02,2024-06-09,2024-06-08,0,6,West,Delivered,Air,0,On Time
94,121,5,FedEx,2024-09-02,2024-09-05,2024-09-06,0,4,Central,Delivered,Truck,1,Minor Delay
95,122,7,BlueDart,2023-08-23,2023-08-28,2023-08-28,0,5,South,Delivered,Rail,0,On Time
96,123,3,DHL,2025-01-02,2025-01-11,2025-01-09,0,7,East,Delivered,Truck,0,On Time
97,125,10,BlueDart,2023-05-04,2023-05-08,2023-05-09,0,5,Central,Delivered,Van,1,Minor Delay
98,127,3,FedEx,2022-12-12,2022-12-15,2023-01-01,1,20,Central,Delivered,Truck,17,Severe Delay
99,130,5,DTDC,2022-03-28,2022-04-03,2022-04-03,0,6,West,Delivered,Van,0,On Time
100,131,4,FedEx,2024-10-31,2024-11-05,2024-11-11,0,11,South,Delivered,Van,6,Moderate Delay
101,132,9,BlueDart,2024-09-21,2024-10-01,2024-09-24,0,3,West,Delivered,Van,0,On Time
102,133,4,DTDC,2022-11-22,2022-11-27,2022-11-30,1,8,West,Delivered,Rail,3,Minor Delay
103,134,10,DHL,2024-08-07,2024-08-15,2024-08-18,0,11,North,Delivered,Truck,3,Minor Delay
104,135,7,DTDC,2022-05-18,2022-05-22,2022-05-30,0,12,North,Delivered,Rail,8,Severe Delay
105,136,2,FedEx,2022-05-22,2022-05-30,2022-05-29,0,7,Central,Delivered,Air,0,On Time
106,137,1,DTDC,2023-05-30,2023-06-02,2023-06-12,1,13,West,Delivered,Air,10,Severe Delay
107,138,7,FedEx,2024-01-08,2024-01-11,2024-01-17,0,9,West,Delivered,Rail,6,Moderate Delay
108,139,3,Delhivery,2023-06-11,2023-06-20,2023-06-16,0,5,East,Delivered,Rail,0,On Time
109,140,2,Ekart,2024-01-15,2024-01-21,2024-01-29,1,14,West,Delivered,Air,8,Severe Delay
110,142,1,BlueDart,2024-12-08,2024-12-17,2024-12-14,0,6,West,Delivered,Air,0,On Time
111,144,6,Ekart,2024-06-08,2024-06-18,2024-06-19,0,11,South,Delivered,Air,1,Minor Delay
112,146,6,DHL,2024-10-19,2024-10-27,2024-10-31,1,12,Central,Delivered,Van,4,Moderate Delay
113,147,8,Ekart,2024-07-12,2024-07-22,2024-07-21,0,9,East,Delivered,Truck,0,On Time
114,148,9,DTDC,2023-07-19,2023-07-27,2023-07-30,0,11,Central,Delivered,Truck,3,Minor Delay
115,149,3,DTDC,2022-01-27,2022-02-06,2022-02-05,0,9,Central,Delivered,Air,0,On Time
116,151,8,FedEx,2024-09-11,2024-09-19,2024-09-22,1,11,North,Delivered,Van,3,Minor Delay
117,153,8,DHL,2023-12-11,2023-12-17,2023-12-19,0,8,North,Delivered,Van,2,Minor Delay
118,154,1,DHL,2022-02-11,2022-02-19,2022-02-19,1,8,West,Delivered,Van,0,On Time
119,155,8,BlueDart,2022-08-28,2022-09-06,2022-09-01,0,4,West,Delivered,Truck,0,On Time
120,157,8,FedEx,2022-05-17,2022-05-27,2022-05-26,0,9,West,Delivered,Truck,0,On Time
121,158,10,DHL,2023-07-12,2023-07-21,2023-07-17,0,5,West,Delivered,Air,0,On Time
122,159,4,FedEx,2023-07-07,2023-07-12,2023-07-20,1,13,West,Delivered,Truck,8,Severe Delay
123,161,6,Ekart,2024-09-27,2024-10-02,2024-10-13,1,16,East,Delivered,Truck,11,Severe Delay
124,162,9,Ekart,2024-09-10,2024-09-16,2024-09-29,1,19,South,Delivered,Air,13,Severe Delay
125,163,4,Delhivery,2023-02-23,2023-02-26,2023-03-03,0,8,Central,Delivered,Van,5,Moderate Delay
126,164,10,DTDC,2024-01-12,2024-01-16,2024-01-17,0,5,Central,Delivered,Truck,1,Minor Delay
127,165,9,Delhivery,2024-04-19,2024-04-29,2024-04-22,0,3,South,Delivered,Truck,0,On Time
128,166,3,DTDC,2023-05-18,2023-05-23,2023-05-26,0,8,Central,Delivered,Rail,3,Minor Delay
129,167,10,Ekart,2022-09-11,2022-09-17,2022-09-18,0,7,East,Delivered,Truck,1,Minor Delay
130,168,6,DHL,2024-10-16,2024-10-24,2024-10-22,0,6,East,Delivered,Air,0,On Time
131,170,6,DHL,2024-10-26,2024-11-04,2024-11-02,0,7,East,Delivered,Air,0,On Time
132,171,5,Delhivery,2022-08-19,2022-08-29,2022-08-30,1,11,East,Delivered,Truck,1,Minor Delay
133,172,1,FedEx,2023-08-04,2023-08-10,2023-08-12,1,8,East,Delivered,Air,2,Minor Delay
134,174,2,DTDC,2024-09-26,2024-09-30,2024-10-06,0,10,West,Delivered,Air,6,Moderate Delay
135,175,7,Ekart,2023-07-03,2023-07-07,2023-07-07,0,4,East,Delivered,Air,0,On Time
136,176,7,Ekart,2023-09-09,2023-09-14,2023-09-16,0,7,South,Delivered,Truck,2,Minor Delay
137,177,7,BlueDart,2023-04-22,2023-05-01,2023-04-29,0,7,Central,Delivered,Air,0,On Time
138,178,7,DHL,2022-07-22,2022-07-25,2022-08-12,1,21,North,Delivered,Air,18,Severe Delay
139,179,6,Delhivery,2023-01-25,2023-02-02,2023-01-31,0,6,North,Delivered,Van,0,On Time
140,181,9,FedEx,2023-12-02,2023-12-11,2023-12-12,0,10,North,Delivered,Rail,1,Minor Delay
141,183,3,DTDC,2022-05-25,2022-06-01,2022-06-04,1,10,North,Delivered,Van,3,Minor Delay
142,184,3,BlueDart,2024-06-04,2024-06-10,2024-06-07,0,3,West,Delivered,Air,0,On Time
143,185,4,Delhivery,2022-03-10,2022-03-19,2022-03-15,0,5,South,Delivered,Truck,0,On Time
144,186,8,BlueDart,2023-09-29,2023-10-09,2023-10-11,0,12,South,Delivered,Air,2,Minor Delay
145,187,1,DTDC,2023-12-30,2024-01-08,2024-01-11,0,12,South,Delivered,Truck,3,Minor Delay
146,188,7,Ekart,2024-08-03,2024-08-06,2024-08-11,0,8,West,Delivered,Van,5,Moderate Delay
147,191,3,BlueDart,2023-01-15,2023-01-21,2023-01-25,0,10,Central,Delivered,Van,4,Moderate Delay
148,193,5,DTDC,2022-08-07,2022-08-13,2022-08-13,0,6,South,Delivered,Rail,0,On Time
149,194,6,Delhivery,2022-05-26,2022-06-02,2022-06-03,0,8,East,Delivered,Rail,1,Minor Delay
150,195,4,DHL,2024-07-19,2024-07-25,2024-07-22,0,3,West,Delivered,Truck,0,On Time
151,196,8,Ekart,2022-06-30,2022-07-07,2022-07-12,0,12,North,Delivered,Air,5,Moderate Delay
152,197,7,BlueDart,2023-11-15,2023-11-20,2023-12-03,1,18,North,Delivered,Van,13,Severe Delay
153,199,8,DTDC,2024-04-10,2024-04-16,2024-04-18,0,8,West,Delivered,Truck,2,Minor Delay
154,201,6,Ekart,2023-10-30,2023-11-04,2023-11-07,0,8,West,Delivered,Air,3,Minor Delay
155,202,1,DTDC,2023-02-27,2023-03-08,2023-03-19,1,20,Central,Delivered,Air,11,Severe Delay
156,203,8,DHL,2022-01-22,2022-01-31,2022-01-28,0,6,Central,Delivered,Rail,0,On Time
157,205,6,FedEx,2022-12-29,2023-01-05,2023-01-09,0,11,West,Delivered,Van,4,Moderate Delay
158,206,4,Ekart,2022-09-07,2022-09-11,2022-09-12,0,5,East,Delivered,Air,1,Minor Delay
159,207,1,FedEx,2022-07-03,2022-07-09,2022-07-14,0,11,Central,Delivered,Truck,5,Moderate Delay
160,208,6,DTDC,2022-10-09,2022-10-13,2022-10-20,0,11,West,Delivered,Truck,7,Moderate Delay
161,209,1,DHL,2024-10-28,2024-11-03,2024-10-31,0,3,South,Delivered,Van,0,On Time
162,210,2,BlueDart,2023-09-17,2023-09-25,2023-09-22,0,5,South,Delivered,Van,0,On Time
163,211,9,BlueDart,2024-07-12,2024-07-22,2024-07-18,0,6,Central,Delivered,Air,0,On Time
164,213,4,Ekart,2024-01-25,2024-01-30,2024-01-30,0,5,East,Delivered,Truck,0,On Time
165,214,9,Ekart,2023-10-22,2023-10-25,2023-11-02,0,11,East,Delivered,Rail,8,Severe Delay
166,215,6,Delhivery,2022-11-12,2022-11-18,2022-11-18,0,6,West,Delivered,Van,0,On Time
167,216,4,BlueDart,2024-04-09,2024-04-15,2024-04-17,0,8,South,Delivered,Rail,2,Minor Delay
168,217,10,DTDC,2022-01-06,2022-01-15,2022-01-11,0,5,East,Delivered,Truck,0,On Time
169,218,1,BlueDart,2023-04-12,2023-04-18,2023-04-23,0,11,East,Delivered,Air,5,Moderate Delay
170,219,5,DHL,2024-02-02,2024-02-05,2024-02-10,0,8,North,Delivered,Air,5,Moderate Delay
171,220,9,DTDC,2024-11-11,2024-11-21,2024-11-18,0,7,Central,Delivered,Truck,0,On Time
172,221,2,DHL,2023-05-29,2023-06-03,2023-06-08,0,10,West,Delivered,Van,5,Moderate Delay
173,222,8,Ekart,2023-10-06,2023-10-13,2023-10-09,0,3,North,Delivered,Air,0,On Time
174,225,3,FedEx,2023-11-04,2023-11-12,2023-11-15,0,11,West,Delivered,Van,3,Minor Delay
175,226,10,Delhivery,2022-07-05,2022-07-12,2022-07-11,0,6,Central,Delivered,Rail,0,On Time
176,227,8,Delhivery,2023-07-11,2023-07-18,2023-07-15,0,4,East,Delivered,Rail,0,On Time
177,228,10,Delhivery,2022-10-09,2022-10-15,2022-10-21,0,12,South,Delivered,Rail,6,Moderate Delay
178,229,8,DTDC,2022-12-26,2023-01-04,2023-01-01,0,6,Central,Delivered,Van,0,On Time
179,230,9,Ekart,2022-06-25,2022-06-28,2022-07-03,0,8,East,Delivered,Rail,5,Moderate Delay
180,231,5,Delhivery,2024-11-17,2024-11-27,2024-11-23,0,6,Central,Delivered,Van,0,On Time
181,232,9,BlueDart,2024-07-03,2024-07-08,2024-07-15,0,12,East,Delivered,Rail,7,Moderate Delay
182,233,5,FedEx,2023-10-11,2023-10-19,2023-10-26,1,15,East,Delivered,Air,7,Moderate Delay
183,234,6,BlueDart,2024-10-25,2024-10-29,2024-11-06,0,12,Central,Delivered,Rail,8,Severe Delay
184,236,1,Delhivery,2023-10-22,2023-10-28,2023-10-31,0,9,West,Delivered,Truck,3,Minor Delay
185,237,2,FedEx,2023-12-01,2023-12-09,2023-12-13,0,12,Central,Delivered,Van,4,Moderate Delay
186,238,9,Delhivery,2024-05-15,2024-05-20,2024-05-20,0,5,Central,Delivered,Rail,0,On Time
187,239,7,DHL,2023-08-12,2023-08-19,2023-08-15,0,3,Central,Delivered,Air,0,On Time
188,240,8,DHL,2024-04-10,2024-04-13,2024-04-22,0,12,West,Delivered,Air,9,Severe Delay
189,242,6,FedEx,2022-04-14,2022-04-20,2022-04-23,0,9,West,Delivered,Truck,3,Minor Delay
190,243,6,Delhivery,2024-10-17,2024-10-20,2024-10-23,0,6,East,Delivered,Truck,3,Minor Delay
191,244,5,BlueDart,2023-11-03,2023-11-13,2023-11-18,1,15,North,Delivered,Rail,5,Moderate Delay
192,245,4,DTDC,2024-05-28,2024-06-01,2024-05-31,0,3,East,Delivered,Rail,0,On Time
193,246,3,Delhivery,2023-12-15,2023-12-22,2023-12-20,0,5,South,Delivered,Van,0,On Time
194,247,6,DTDC,2023-01-07,2023-01-15,2023-01-11,0,4,West,Delivered,Truck,0,On Time
195,248,1,BlueDart,2022-04-08,2022-04-14,2022-04-11,0,3,North,Delivered,Air,0,On Time
196,249,6,Delhivery,2022-05-08,2022-05-15,2022-05-13,0,5,West,Delivered,Air,0,On Time
197,251,8,DHL,2023-05-02,2023-05-07,2023-05-12,0,10,South,Delivered,Rail,5,Moderate Delay
198,253,2,FedEx,2023-01-01,2023-01-07,2023-01-07,0,6,North,Delivered,Truck,0,On Time
199,254,3,FedEx,2023-02-18,2023-02-25,2023-02-26,0,8,East,Delivered,Air,1,Minor Delay
200,255,6,FedEx,2022-03-16,2022-03-24,2022-03-26,0,10,West,Delivered,Air,2,Minor Delay
201,256,3,DTDC,2023-09-05,2023-09-13,2023-09-08,0,3,North,Delivered,Air,0,On Time
202,258,4,Delhivery,2023-03-16,2023-03-25,2023-03-24,0,8,Central,Delivered,Truck,0,On Time
203,260,9,BlueDart,2024-02-07,2024-02-10,2024-02-27,1,20,South,Delivered,Rail,17,Severe Delay
204,261,9,DHL,2022-03-26,2022-04-03,2022-04-03,1,8,Central,Delivered,Air,0,On Time
205,263,5,DTDC,2023-03-12,2023-03-15,2023-03-19,0,7,West,Delivered,Van,4,Moderate Delay
206,264,3,FedEx,2022-09-14,2022-09-23,2022-09-27,1,13,Central,Delivered,Air,4,Moderate Delay
207,265,7,Ekart,2023-01-28,2023-02-06,2023-02-09,0,12,West,Delivered,Rail,3,Minor Delay
208,267,8,Delhivery,2022-07-13,2022-07-20,2022-07-20,0,7,South,Delivered,Van,0,On Time
209,269,4,DTDC,2024-06-02,2024-06-10,2024-06-06,0,4,East,Delivered,Van,0,On Time
210,270,10,DTDC,2023-02-07,2023-02-13,2023-02-17,0,10,North,Delivered,Air,4,Moderate Delay
211,271,5,DHL,2023-03-17,2023-03-20,2023-03-21,0,4,East,Delivered,Van,1,Minor Delay
212,272,3,BlueDart,2022-10-16,2022-10-22,2022-10-25,0,9,East,Delivered,Air,3,Minor Delay
213,273,7,Delhivery,2023-07-09,2023-07-16,2023-07-21,0,12,West,Delivered,Air,5,Moderate Delay
214,274,1,Delhivery,2023-07-29,2023-08-05,2023-08-13,1,15,East,Delivered,Rail,8,Severe Delay
215,275,2,Delhivery,2024-09-09,2024-09-17,2024-09-16,0,7,East,Delivered,Van,0,On Time
216,276,10,FedEx,2023-10-12,2023-10-15,2023-10-15,0,3,North,Delivered,Rail,0,On Time
217,277,10,BlueDart,2024-11-26,2024-12-05,2024-12-05,0,9,North,Delivered,Van,0,On Time
218,279,3,DHL,2022-03-15,2022-03-25,2022-03-20,0,5,Central,Delivered,Rail,0,On Time
219,281,3,FedEx,2022-05-06,2022-05-16,2022-05-16,0,10,South,Delivered,Rail,0,On Time
220,282,2,BlueDart,2024-01-18,2024-01-28,2024-01-21,0,3,West,Delivered,Van,0,On Time
221,284,2,DHL,2022-07-10,2022-07-19,2022-07-14,0,4,South,Delivered,Truck,0,On Time
222,285,5,DTDC,2023-09-22,2023-10-01,2023-09-30,0,8,South,Delivered,Air,0,On Time
223,286,6,DHL,2023-06-14,2023-06-20,2023-06-26,1,12,East,Delivered,Air,6,Moderate Delay
224,287,6,BlueDart,2022-03-27,2022-04-02,2022-04-04,0,8,Central,Delivered,Air,2,Minor Delay
225,288,9,BlueDart,2023-07-22,2023-07-27,2023-08-03,0,12,South,Delivered,Rail,7,Moderate Delay
226,290,10,FedEx,2023-06-30,2023-07-07,2023-07-05,0,5,Central,Delivered,Air,0,On Time
227,291,4,DHL,2022-07-06,2022-07-16,2022-07-11,0,5,West,Delivered,Truck,0,On Time
228,292,3,DTDC,2023-04-19,2023-04-23,2023-04-30,0,11,East,Delivered,Air,7,Moderate Delay
229,293,2,BlueDart,2023-03-06,2023-03-13,2023-03-16,0,10,West,Delivered,Truck,3,Minor Delay
230,295,10,FedEx,2022-03-07,2022-03-15,2022-03-19,0,12,West,Delivered,Van,4,Moderate Delay
231,296,7,DHL,2022-05-29,2022-06-01,2022-06-03,0,5,West,Delivered,Van,2,Minor Delay
232,297,7,BlueDart,2024-03-08,2024-03-18,2024-03-16,0,8,East,Delivered,Air,0,On Time
233,298,9,FedEx,2024-08-23,2024-08-28,2024-08-29,0,6,North,Delivered,Air,1,Minor Delay
234,299,2,DHL,2024-10-30,2024-11-02,2024-11-03,0,4,Central,Delivered,Air,1,Minor Delay
235,301,2,Delhivery,2022-11-02,2022-11-06,2022-11-10,0,8,East,Delivered,Rail,4,Moderate Delay
236,302,1,Delhivery,2023-08-14,2023-08-21,2023-08-19,0,5,East,Delivered,Rail,0,On Time
237,303,2,FedEx,2022-06-28,2022-07-05,2022-07-06,0,8,East,Delivered,Rail,1,Minor Delay
238,304,4,DHL,2024-05-06,2024-05-10,2024-05-19,1,13,South,Delivered,Truck,9,Severe Delay
239,305,5,DTDC,2024-10-30,2024-11-05,2024-11-09,0,10,Central,Delivered,Truck,4,Moderate Delay
240,306,3,DHL,2022-11-11,2022-11-16,2022-11-14,0,3,East,Delivered,Rail,0,On Time
241,307,7,DTDC,2022-09-20,2022-09-30,2022-10-04,1,14,West,Delivered,Van,4,Moderate Delay
242,308,3,DTDC,2023-12-09,2023-12-15,2023-12-18,0,9,Central,Delivered,Van,3,Minor Delay
243,309,6,Delhivery,2023-02-08,2023-02-11,2023-02-13,0,5,Central,Delivered,Rail,2,Minor Delay
244,310,8,Delhivery,2023-04-01,2023-04-05,2023-04-06,0,5,South,Delivered,Van,1,Minor Delay
245,311,10,Delhivery,2022-12-17,2022-12-24,2022-12-28,0,11,South,Delivered,Air,4,Moderate Delay
246,312,7,Ekart,2022-05-03,2022-05-12,2022-05-17,1,14,East,Delivered,Truck,5,Moderate Delay
247,314,2,FedEx,2023-08-30,2023-09-08,2023-09-07,0,8,North,Delivered,Rail,0,On Time
248,315,2,DHL,2023-11-27,2023-12-07,2023-12-05,0,8,East,Delivered,Air,0,On Time
249,317,10,FedEx,2024-12-26,2025-01-02,2025-01-04,0,9,East,Delivered,Truck,2,Minor Delay
250,318,1,Delhivery,2022-05-29,2022-06-08,2022-06-04,0,6,East,Delivered,Van,0,On Time
251,319,7,Ekart,2024-12-15,2024-12-25,2024-12-19,0,4,West,Delivered,Air,0,On Time
252,320,5,DHL,2022-12-24,2022-12-28,2022-12-31,0,7,West,Delivered,Rail,3,Minor Delay
